Life expectancy,Alcohol,Hepatitis B,Measles,BMI,Polio,Diphtheria,HIV/AIDS,GDP,Schooling,thinness  1-19 years
65.0,0.01,65.0,1154,19.1,6.0,65.0,0.1,584.25921,10.1,17.2
59.9,0.01,62.0,492,18.6,58.0,62.0,0.1,612.696514,10.0,17.5
59.9,0.01,64.0,430,18.1,62.0,64.0,0.1,631.744976,9.9,17.7
59.5,0.01,67.0,2787,17.6,67.0,67.0,0.1,669.959,9.8,17.9
59.2,0.01,68.0,3013,17.2,68.0,68.0,0.1,63.537231,9.5,18.2
58.8,0.01,66.0,1989,16.7,66.0,66.0,0.1,553.32894,9.2,18.4
58.6,0.01,63.0,2861,16.2,63.0,63.0,0.1,445.8932979,8.9,18.6
58.1,0.03,64.0,1599,15.7,64.0,64.0,0.1,373.3611163,8.7,18.8
57.5,0.02,63.0,1141,15.2,63.0,63.0,0.1,369.835796,8.4,19.0
57.3,0.03,64.0,1990,14.7,58.0,58.0,0.1,272.56377,8.1,19.2
57.3,0.02,66.0,1296,14.2,58.0,58.0,0.1,25.2941299,7.9,19.3
57.0,0.02,67.0,466,13.8,5.0,5.0,0.1,219.1413528,6.8,19.5
56.7,0.01,65.0,798,13.4,41.0,41.0,0.1,198.7285436,6.5,19.7
56.2,0.01,64.0,2486,13.0,36.0,36.0,0.1,187.84595,6.2,19.9
55.3,0.01,63.0,8762,12.6,35.0,33.0,0.1,117.49698,5.9,2.1
54.8,0.01,62.0,6532,12.2,24.0,24.0,0.1,114.56,5.5,2.3
77.8,4.6,99.0,0,58.0,99.0,99.0,0.1,3954.22783,14.2,1.2
77.5,4.51,98.0,0,57.2,98.0,98.0,0.1,4575.763787,14.2,1.2
77.2,4.76,99.0,0,56.5,99.0,99.0,0.1,4414.72314,14.2,1.3
76.9,5.14,99.0,9,55.8,99.0,99.0,0.1,4247.61438,14.2,1.3
76.6,5.37,99.0,28,55.1,99.0,99.0,0.1,4437.17868,13.3,1.4
76.2,5.28,99.0,10,54.3,99.0,99.0,0.1,494.358832,12.5,1.4
76.1,5.79,98.0,0,53.5,98.0,98.0,0.1,4114.136545,12.2,1.5
75.3,5.61,99.0,0,52.6,99.0,99.0,0.1,437.539647,12.0,1.6
75.9,5.58,98.0,22,51.7,99.0,98.0,0.1,363.13685,11.6,1.6
74.2,5.31,98.0,68,5.8,97.0,97.0,0.1,35.1293,11.4,1.7
73.5,5.16,98.0,6,49.9,97.0,98.0,0.1,279.142931,10.8,1.8
73.0,4.54,99.0,7,48.9,98.0,97.0,0.1,2416.588235,10.9,1.8
72.8,4.29,97.0,8,47.9,97.0,97.0,0.1,189.681557,10.7,1.9
73.3,3.73,96.0,16,46.9,98.0,98.0,0.1,1453.642777,10.7,2.0
73.6,4.25,96.0,18,46.0,97.0,97.0,0.1,1326.97339,10.6,2.1
72.6,3.66,96.0,662,45.0,97.0,97.0,0.1,1175.788981,10.7,2.1
75.4,0.01,95.0,0,58.4,95.0,95.0,0.1,547.8517,14.4,6.0
75.3,0.53,95.0,25,57.2,95.0,95.0,0.1,5471.866766,14.4,5.9
75.1,0.66,95.0,18,56.1,95.0,95.0,0.1,5564.82566,14.4,5.9
74.9,0.56,95.0,112,55.0,95.0,95.0,0.1,5432.2523,14.0,5.9
74.7,0.45,95.0,103,53.9,95.0,95.0,0.1,4463.394675,13.6,5.9
74.4,0.5,94.0,107,52.8,94.0,95.0,0.1,3868.83123,13.1,6.0
74.1,0.46,91.0,217,51.8,92.0,93.0,0.1,495.254866,12.6,6.0
73.8,0.44,9.0,0,5.8,95.0,95.0,0.1,3935.183343,12.3,6.0
73.4,0.36,8.0,944,49.8,95.0,95.0,0.1,3464.6179,12.3,6.1
72.9,0.5,83.0,2302,48.9,88.0,88.0,0.1,31.122378,12.0,6.1
72.3,0.45,81.0,3289,47.9,86.0,86.0,0.1,2598.9823,11.7,6.2
51.7,8.33,64.0,11699,22.7,68.0,64.0,2.0,479.31224,11.4,8.5
51.1,8.1,77.0,8523,22.1,67.0,77.0,2.3,484.616884,11.4,8.6
56.0,8.24,75.0,4458,21.5,75.0,75.0,2.6,4598.249988,10.3,8.8
51.0,8.06,72.0,1449,21.0,73.0,71.0,2.5,4299.12889,9.4,8.9
49.6,7.8,77.0,1190,2.4,81.0,77.0,2.5,3529.53482,9.0,9.1
49.1,7.01,61.0,2807,19.8,63.0,6.0,2.5,3347.84485,8.5,9.3
48.7,7.07,69.0,265,19.3,65.0,69.0,2.6,3868.578883,8.1,9.5
48.2,6.35,73.0,1014,18.8,75.0,73.0,2.6,2878.837144,7.7,9.6
76.2,8.56,99.0,0,47.0,96.0,99.0,0.2,12888.29667,13.9,3.3
76.1,8.58,99.0,0,46.4,98.0,99.0,0.2,12224.86416,13.9,3.3
75.9,8.18,98.0,0,45.7,97.0,98.0,0.2,12565.44197,13.8,3.3
75.7,7.84,99.0,0,45.1,99.0,99.0,0.1,11929.34991,14.1,3.3
75.6,7.84,98.0,0,44.4,99.0,98.0,0.1,12126.87614,14.1,3.3
75.4,7.82,98.0,0,43.8,98.0,99.0,0.1,1312.46692,14.2,3.4
75.2,8.27,98.0,0,43.2,99.0,99.0,0.1,1473.31923,14.4,3.4
75.0,8.64,97.0,0,42.6,98.0,99.0,0.1,14252.29452,14.5,3.4
74.8,8.93,99.0,0,42.0,99.0,99.0,0.1,12724.39377,14.7,3.4
74.6,8.15,99.0,0,41.4,98.0,99.0,0.1,11371.93895,0.0,3.5
74.4,7.28,97.0,0,4.8,97.0,97.0,0.1,1352.8374,0.0,3.5
74.2,7.16,99.0,0,4.1,99.0,99.0,0.1,9739.82556,0.0,3.5
74.0,7.21,99.0,0,39.5,93.0,98.0,0.1,9386.716452,0.0,3.6
73.8,7.51,96.0,0,38.9,99.0,97.0,0.1,9358.154162,0.0,3.6
76.2,7.93,94.0,1,62.2,92.0,94.0,0.1,12245.25645,17.3,1.0
76.0,8.28,94.0,0,61.6,99.0,94.0,0.1,12976.63642,17.3,1.0
75.9,8.35,91.0,2,61.0,99.0,91.0,0.1,12969.7712,17.2,1.0
75.7,8.11,91.0,3,6.4,93.0,91.0,0.1,12726.9836,17.1,1.0
75.5,8.15,94.0,17,59.8,95.0,94.0,0.1,1276.265,16.8,1.0
75.6,8.33,94.0,3,59.2,97.0,94.0,0.1,8161.36966,16.5,1.0
75.4,8.41,9.0,0,58.6,94.0,93.0,0.1,8953.359275,16.3,1.0
74.8,8.16,85.0,0,58.0,92.0,91.0,0.1,7193.61764,16.3,1.1
75.2,7.75,84.0,0,57.5,92.0,91.0,0.1,5878.76127,16.1,1.1
74.9,7.53,88.0,0,56.9,95.0,98.0,0.1,576.883829,16.3,1.1
74.7,7.63,81.0,0,56.3,91.0,98.0,0.1,4251.574348,16.3,1.1
74.1,7.62,73.0,0,55.7,95.0,96.0,0.1,333.4376,16.4,1.2
74.1,7.81,66.0,0,55.1,94.0,93.0,0.1,2579.193168,16.3,1.2
74.6,3.91,93.0,13,54.1,95.0,93.0,0.1,3994.712355,12.7,2.1
74.4,3.79,95.0,10,53.3,96.0,95.0,0.1,3843.591213,12.7,2.1
74.4,3.89,95.0,0,52.6,96.0,95.0,0.1,3684.8481,12.7,2.0
73.9,4.09,95.0,0,51.9,96.0,95.0,0.1,3526.978143,12.7,2.0
73.5,4.23,94.0,2,51.2,96.0,94.0,0.1,3218.381655,12.3,2.0
73.3,3.96,93.0,0,5.7,94.0,93.0,0.1,2993.832531,11.9,2.0
73.2,3.96,89.0,0,5.1,91.0,89.0,0.1,41.26997,12.3,2.0
73.5,3.99,85.0,1,49.7,9.0,88.0,0.1,3138.8873,11.7,2.0
72.9,4.01,78.0,137,49.2,87.0,87.0,0.1,2158.299,11.2,2.0
73.0,4.25,91.0,2281,48.8,92.0,9.0,0.1,1643.758397,10.9,2.0
73.0,3.81,91.0,1783,48.4,93.0,91.0,0.1,1191.96192,10.9,2.0
72.7,3.03,93.0,4,48.1,96.0,94.0,0.1,93.1661567,10.8,2.0
72.6,2.86,91.0,40,47.8,96.0,94.0,0.1,783.261699,10.8,2.1
72.6,2.86,69.0,69,47.4,97.0,94.0,0.1,694.435119,11.1,2.1
72.0,2.9,55.0,15,47.1,96.0,93.0,0.1,622.7427477,11.2,2.1
82.7,9.71,91.0,340,66.1,92.0,92.0,0.1,62214.6912,20.4,0.6
82.5,9.87,91.0,158,65.5,91.0,91.0,0.1,67792.3386,20.3,0.6
82.3,10.03,91.0,199,65.0,92.0,92.0,0.1,67677.63477,20.1,0.6
82.0,10.3,92.0,190,64.4,92.0,92.0,0.1,62245.129,19.8,0.6
81.9,10.52,92.0,70,63.9,92.0,92.0,0.1,51874.848,19.5,0.7
81.7,10.62,94.0,104,63.4,92.0,92.0,0.1,42742.99898,19.1,0.7
81.3,10.76,94.0,65,62.9,92.0,92.0,0.1,49664.6854,19.1,0.7
81.3,10.56,94.0,11,62.5,92.0,92.0,0.1,4991.98289,19.0,0.7
81.2,10.31,95.0,0,62.0,92.0,92.0,0.1,36118.28381,20.3,0.7
81.0,10.3,95.0,10,61.5,92.0,92.0,0.1,3416.71483,20.3,0.7
86.0,9.84,95.0,70,6.9,92.0,92.0,0.1,3472.37977,20.7,0.7
83.0,9.97,95.0,91,6.3,92.0,93.0,0.1,23465.38559,20.6,0.7
